MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-02-16 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN15/02	8	0	NULL	NULL	NULL	NULL
2017-02-16 00:00:00	PAIEMENTPARCARTE	LEHAVANEDINAN15/02	14	0	NULL	NULL	NULL	NULL
2017-02-15 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN14/02	9	0	NULL	NULL	NULL	NULL
2017-02-15 00:00:00	PAIEMENTPARCARTE	GOURMETWOKTADEN14/02	17	0	NULL	NULL	NULL	NULL
2017-02-14 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN13/02	3	0	NULL	NULL	NULL	NULL
2017-02-14 00:00:00	PRELEVMNT	DEMENAGEMENTSGUIOMARD	149	0	NULL	NULL	NULL	NULL
2017-02-13 00:00:00	PAIEMENTPARCARTE	MOKODINAN12/02	22	0	NULL	NULL	NULL	NULL
2017-02-13 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN11/02	15	0	NULL	NULL	NULL	NULL
2017-02-13 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN10/02	15	0	NULL	NULL	NULL	NULL
2017-02-13 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN10/02	16	0	NULL	NULL	NULL	NULL
2017-02-10 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN08/02	15	0	NULL	NULL	NULL	NULL
2017-02-10 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN08/02	7	0	NULL	NULL	NULL	NULL
2017-02-10 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN09/02	7	0	NULL	NULL	NULL	NULL
2017-02-09 00:00:00	PRELEVEMENT	PRETPERSONNEL018506	509	0	NULL	NULL	NULL	NULL
2017-02-08 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN07/02	9	0	NULL	NULL	NULL	NULL
2017-02-08 00:00:00	RETRAITAUDISTRIBUTEUR	DINANCENTRE107/0208H19	60	0	NULL	NULL	NULL	NULL
2017-02-07 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN06/02	3	0	NULL	NULL	NULL	NULL
2017-02-07 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN06/02	7	0	NULL	NULL	NULL	NULL
2017-02-07 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN06/02	14	0	NULL	NULL	NULL	NULL
2017-02-07 00:00:00	PAIEMENTPARCARTE	BOULANGERIEARMORIQDINAN06/02	1	0	NULL	NULL	NULL	NULL
2017-02-06 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN04/02	75	0	NULL	NULL	NULL	NULL
2017-02-06 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN04/02	15	0	NULL	NULL	NULL	NULL
2017-02-06 00:00:00	PAIEMENTPARCARTE	MACDONALD-NFCQUEVERT05/02	13	0	NULL	NULL	NULL	NULL
2017-02-06 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN03/02	7	0	NULL	NULL	NULL	NULL
2017-02-06 00:00:00	PAIEMENTPARCARTE	DECATHLON0720TADEN04/02	52	0	NULL	NULL	NULL	NULL
2017-02-03 00:00:00	PAIEMENTPARCARTE	MOKODINAN02/02	17	0	NULL	NULL	NULL	NULL
2017-02-03 00:00:00	PAIEMENTPARCARTE	LARTISTDINAN03/02	10	0	NULL	NULL	NULL	NULL
2017-02-03 00:00:00	COTISATION	COMPTESERVICEOPTION2	6	0	NULL	NULL	NULL	NULL
2017-02-02 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN01/02	15	0	NULL	NULL	NULL	NULL
2017-02-01 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVAL31/01	11	0	NULL	NULL	NULL	NULL
2017-02-01 00:00:00	PAIEMENTPARCARTE	PORTPLAISANCEDINAN31/01	198	0	NULL	NULL	NULL	NULL
2017-01-31 00:00:00	VIREMENTENVOTREFAVEUR	C.P.A.M.FINISTERE170300003243	0	15	NULL	NULL	NULL	NULL
2017-01-31 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN30/01	4	0	NULL	NULL	NULL	NULL
2017-01-30 00:00:00	RETRAITAUDISTRIBUTEUR	DINANCENTRE128/0111H30	60	0	NULL	NULL	NULL	NULL
2017-01-27 00:00:00	VIREMENTENVOTREFAVEUR	APOLOGICAPOLOGIC70251139460001	0	3114	NULL	NULL	NULL	NULL
2017-01-27 00:00:00	VIREMENTENVOTREFAVEUR	C.P.A.M.FINISTERE170260004059	0	15	NULL	NULL	NULL	NULL
2017-01-27 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVALL26/01	51	0	NULL	NULL	NULL	NULL
2017-01-25 00:00:00	PAIEMENTPARCARTE	CARREFOURCITYDINAN24/01	10	0	NULL	NULL	NULL	NULL
2017-01-25 00:00:00	PAIEMENTPARCARTE	MOKODINAN24/01	27	0	NULL	NULL	NULL	NULL
2017-01-25 00:00:00	RETRAITAUDISTRIBUTEUR	DINANCENTRE124/0116H34	60	0	NULL	NULL	NULL	NULL
2017-01-24 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN23/01	70	0	NULL	NULL	NULL	NULL
2017-01-24 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN23/01	19	0	NULL	NULL	NULL	NULL
